ServiceApprovalNumber,ServiceName,ProviderLegalName,ServiceType,Suburb,State,Postcode,longitude,latitude,coordinate_valid,OverallRating,rating_group,NumberOfApprovedPlaces,DistanceToBusStation_km,DistanceToTrainStation_km,nearest_transport_distance_km,transport_distance_invalid,transport_distance_review,annual_weekly_operating_hours,annual_hours_valid,term_weekly_operating_hours_unadjusted,term_weekly_operating_hours,term_hours_overlap_adjusted,holiday_weekly_operating_hours,weekly_operating_hours,operating_hours_basis,detailed_offering_count,detailed_offering_combination,remoteness_code,remoteness_area,remoteness_broad_group,boundary_state_name,boundary_state_abbr,remoteness_match_status,state_boundary_consistent,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Other
SE-00000002,Community Kids Waterford Early Education Centre,G8 Education Limited,Centre-Based Care,WATERFORD WEST,QLD,4133,153.133903,-27.690513,True,Meeting NQS,Meets NQS,60.000000,2.740061,2.240936,2.240936,False,False,60.000000,True,27.500000,27.500000,False,60.000000,60.000000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,No,No,No,No
SE-00000003,KIDVENTURE EARLY LEARNING EAGLEBY,Table Mountain Trading Pty Ltd As The Trustee for Table Mountain Trading Trust,Centre-Based Care,EAGLEBY,QLD,4207,153.211788,-27.707468,True,Working Towards NQS,Below NQS,74.000000,6.463300,1.321988,1.321988,False,False,60.000000,True,,,False,,60.000000,Annual,5.000000,Long Day Care + Preschool: Stand-alone + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,Yes,Yes,Yes,No
SE-00000004,Community Kids - Broadbeach Waters,G8 Education Limited,Centre-Based Care,BROADBEACH WATERS,QLD,4217,153.410340,-28.024768,True,Meeting NQS,Meets NQS,75.000000,2.921968,1.934140,1.934140,False,False,60.000000,True,,,False,,60.000000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,No,No,No,No
SE-00000005,Little Scholars School of Early Learning Burleigh Waters,The Scholars Group Pty Ltd,Centre-Based Care,BURLEIGH WATERS,QLD,4220,153.431381,-28.082158,True,Meeting NQS,Meets NQS,106.000000,8.819896,3.570195,3.570195,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000006,Small World Child Care Centre,A. & K. Massouras Pty. Ltd. ATF The A Massouras Family Trust,Centre-Based Care,CARRARA,QLD,4211,153.351670,-28.005581,True,Meeting NQS,Meets NQS,92.000000,7.408396,1.287302,1.287302,False,False,57.500000,True,,,False,,57.500000,Annual,4.000000,Long Day Care + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,Yes,Yes,Yes,No
SE-00000008,Papilio Early Learning Currumbin,Affinity Education Group Pty Limited,Centre-Based Care,CURRUMBIN WATERS,QLD,4223,153.461610,-28.139364,True,Meeting NQS,Meets NQS,60.000000,15.553776,7.720669,7.720669,False,False,57.500000,True,,,False,,57.500000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000009,Panda's Child Care Centre,Ancom Pty Ltd,Centre-Based Care,ELANORA,QLD,4221,153.449901,-28.128613,True,Working Towards NQS,Below NQS,70.000000,14.160719,6.085334,6.085334,False,False,55.000000,True,,,False,,55.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000010,Koala Kindy,UYI Holdings Pty Ltd,Centre-Based Care,HELENSVALE,QLD,4212,153.327313,-27.903313,True,Meeting NQS,Meets NQS,75.000000,14.807725,2.716316,2.716316,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000011,Albert Waterways Children's Centre,Albert Waterways Children's Centre Inc,Centre-Based Care,MERMAID WATERS,QLD,4218,153.424347,-28.037026,True,Exceeding NQS,Above NQS,47.000000,3.794189,0.683661,0.683661,False,False,50.000000,True,,,False,,50.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Yes,No,No,No,No,No,No
SE-00000012,The Young Ones Early Learning,WWNest Pty Ltd as Trustee for CHH Trust,Centre-Based Care,MUDGEERABA,QLD,4213,153.363196,-28.079324,True,Meeting NQS,Meets NQS,86.000000,10.556250,1.708821,1.708821,False,False,57.500000,True,,,False,,57.500000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,No,No,No,No
SE-00000013,Goodstart Early Learning Mudgeeraba,Goodstart Early Learning Ltd,Centre-Based Care,MUDGEERABA,QLD,4213,153.363363,-28.086512,True,Meeting NQS,Meets NQS,58.000000,11.200843,2.226252,2.226252,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000014,Little World Early Learning,Qelc Pty Ltd,Centre-Based Care,WORONGARY,QLD,4213,153.353974,-28.051688,True,Meeting NQS,Meets NQS,75.000000,8.990506,3.207150,3.207150,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000015,Hinterland Early Learning Centre,ELLENDALE EMP PTY LTD,Centre-Based Care,MUDGEERABA,QLD,4213,153.359021,-28.080505,True,Meeting NQS,Meets NQS,62.000000,10.908456,2.129022,2.129022,False,False,60.000000,True,,,False,,60.000000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,No,No,No,No
SE-00000017,Clearview Early Learning and Kindergarten,EARLY EDUCATION HOLDINGS PTY LTD,Centre-Based Care,NERANG,QLD,4211,153.310053,-28.002655,True,Meeting NQS,Meets NQS,77.000000,11.493479,4.042563,4.042563,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000018,Little School Highland Park,Panorama EMP Pty Ltd,Centre-Based Care,NERANG,QLD,4211,153.333131,-28.012050,True,Meeting NQS,Meets NQS,64.000000,9.279328,2.597478,2.597478,False,False,60.000000,True,,,False,,60.000000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,No,No,No,No
SE-00000019,Little World For Discoverers,Qelc Pty Ltd,Centre-Based Care,OXENFORD,QLD,4210,153.313352,-27.901911,True,Meeting NQS,Meets NQS,65.000000,15.860537,3.634861,3.634861,False,False,60.000000,True,,,False,,60.000000,Annual,4.000000,Long Day Care + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,Yes,Yes,Yes,No
SE-00000020,Kool Kids Early Learning Centre - Mermaid Waters,Kool Kids Operations Pty Ltd,Centre-Based Care,MERMAID WATERS,QLD,4218,153.415140,-28.047369,True,Meeting NQS,Meets NQS,72.000000,5.072193,2.053414,2.053414,False,False,55.000000,True,,,False,,55.000000,Annual,4.000000,Long Day Care + Preschool: Stand-alone + OSHC: After School + OSHC: Before School,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,Yes,Yes,No,No
SE-00000021,Robina First Early Learning Centre,Youngercare Pty Ltd,Centre-Based Care,ROBINA,QLD,4226,153.404629,-28.064754,True,Meeting NQS,Meets NQS,100.000000,7.214659,2.715615,2.715615,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000022,Flourish Kinder,Flourish School of Kinder Learning Pty Ltd,Centre-Based Care,WORONGARY,QLD,4213,153.326444,-28.049630,True,Working Towards NQS,Below NQS,24.000000,11.159677,5.603498,5.603498,False,False,40.000000,True,,,False,,40.000000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Yes,No,Yes,No,No,No,No
SE-00000025,C&K Biloela Community Childcare Centre,The Creche and Kindergarten Association Limited,Centre-Based Care,BILOELA,QLD,4715,150.511281,-24.397879,True,Meeting NQS,Meets NQS,42.000000,113.353748,81.047231,81.047231,False,False,55.000000,True,,,False,,55.000000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,32,Outer Regional Australia,Regional Australia,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,No,No,No,No
SE-00000026,Simply Sunshine Early Education,Moranbah Neighbourhood Centre Association Inc,Centre-Based Care,MORANBAH,QLD,4744,148.044981,-21.999644,True,Meeting NQS,Meets NQS,80.000000,295.685660,120.808211,120.808211,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,32,Outer Regional Australia,Regional Australia,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000027,Clermont Kindergarten Day Care Centre,Clermont Kindergarten Day Care Centre Association Inc,Centre-Based Care,CLERMONT,QLD,4721,147.636479,-22.831529,True,Meeting NQS,Meets NQS,75.000000,299.977851,48.552481,48.552481,False,False,52.500000,True,,,False,,52.500000,Annual,4.000000,Long Day Care + Preschool: Stand-alone + OSHC: After School + OSHC: Vacation Care,33,Remote Australia,Remote Australia,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,Yes,No,Yes,No
SE-00000028,Bowen Childcare and Early Education,Bowen and District Child Care Association Inc,Centre-Based Care,BOWEN,QLD,4805,148.242365,-20.016371,True,Meeting NQS,Meets NQS,63.000000,171.499133,3.873632,3.873632,False,False,60.000000,True,,,False,,60.000000,Annual,5.000000,Long Day Care + Preschool: Stand-alone + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,32,Outer Regional Australia,Regional Australia,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,Yes,Yes,Yes,No
SE-00000029,YMCA Acacia Ridge Early Education Centre,The Young Men's Christian Association of Brisbane,Centre-Based Care,ACACIA RIDGE,QLD,4110,153.024622,-27.584702,True,Working Towards NQS,Below NQS,75.000000,6.045222,2.215391,2.215391,False,False,57.500000,True,,,False,,57.500000,Annual,2.000000,Long Day Care + OSHC: Vacation Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Yes,No,No,No,No,Yes,No
SE-00000030,Sunrise Kids Early Education & Care - Acacia Ridge,Sunrise Kids #2 Pty Ltd ATF Sunrise Kids Trust,Centre-Based Care,ACACIA RIDGE,QLD,4110,153.022576,-27.589134,True,Working Towards NQS,Below NQS,63.000000,6.430530,2.744283,2.744283,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000032,Algester World Of Learning,Ramsay Bourne Acquisitions (No. 2) Pty Limited,Centre-Based Care,ALGESTER,QLD,4115,153.034141,-27.617860,True,Meeting NQS,Meets NQS,64.000000,7.583133,4.428564,4.428564,False,False,57.500000,True,,,False,,57.500000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,No,No,No,No
SE-00000034,Goodstart Early Learning Ashgrove,Goodstart Early Learning Ltd,Centre-Based Care,ASHGROVE,QLD,4060,152.992098,-27.446657,True,Meeting NQS,Meets NQS,120.000000,3.666299,2.386733,2.386733,False,False,57.500000,True,,,False,,57.500000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,No,No,No,No
SE-00000035,Goodstart Early Learning Aspley,Goodstart Early Learning Ltd,Centre-Based Care,ASPLEY,QLD,4034,153.018143,-27.356838,True,Exceeding NQS,Above NQS,74.000000,6.218811,1.517034,1.517034,False,False,55.000000,True,,,False,,55.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000036,Boondall Early Childhood Centre,Jubarlee Enterprises Pty Ltd ATF The Longden Family Trust And Feng Holdings Pty Ltd ATF The Feng Family Trust,Centre-Based Care,BOONDALL,QLD,4034,153.058939,-27.361870,True,Working Towards NQS,Below NQS,98.000000,7.221849,1.384334,1.384334,False,False,57.500000,True,,,False,,57.500000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Yes,No,Yes,No,No,No,No
SE-00000037,Tugulawa Early Education Incorporated,Tugulawa Early Education Incorporated,Centre-Based Care,BULIMBA,QLD,4171,153.063599,-27.452215,True,Exceeding NQS,Above NQS,59.000000,3.447818,2.159076,2.159076,False,False,52.500000,True,,,False,,52.500000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Yes,No,No,No,No,No,No
SE-00000038,Goodstart Early Learning Carindale,Goodstart Early Learning Ltd,Centre-Based Care,CARINDALE,QLD,4152,153.112873,-27.503975,True,Meeting NQS,Meets NQS,57.000000,0.961225,4.424163,0.961225,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000040,Goodstart Early Learning Carina,Goodstart Early Learning Ltd,Centre-Based Care,CARINA,QLD,4152,153.087358,-27.496293,True,Meeting NQS,Meets NQS,52.000000,1.712022,2.961916,1.712022,False,False,55.000000,True,,,False,,55.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000041,Goodstart Early Learning Clayfield,Goodstart Early Learning Ltd,Centre-Based Care,CLAYFIELD,QLD,4011,153.049486,-27.416508,True,Meeting NQS,Meets NQS,57.000000,3.602150,0.127658,0.127658,False,False,56.250000,True,,,False,,56.250000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000042,Peter Pan Early Learning and Kindergarten,The Trustee for Treasure Island Trust,Centre-Based Care,COORPAROO,QLD,4151,153.068967,-27.503877,True,Meeting NQS,Meets NQS,62.000000,2.932017,2.078483,2.078483,False,False,55.000000,True,,,False,,55.000000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,No,No,No,No
SE-00000043,Mother Duck Childcare and Kindergarten Enoggera,Mother Duck (Enoggera) Pty Ltd,Centre-Based Care,ENOGGERA,QLD,4051,152.995576,-27.421983,True,Meeting NQS,Meets NQS,63.000000,2.043519,0.364576,0.364576,False,False,60.000000,True,,,False,,60.000000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,No,No,No,No
SE-00000044,Everton Park Child Care and Development Centre,Scanlan Way Pty Ltd,Centre-Based Care,EVERTON PARK,QLD,4053,152.988767,-27.401956,True,Excellent,Above NQS,80.000000,2.696250,1.662213,1.662213,False,False,60.000000,True,,,False,,60.000000,Annual,3.000000,Long Day Care + OSHC: After School + OSHC: Before School,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Yes,No,No,Yes,Yes,No,No
SE-00000046,Lady Gowrie Love Street Child Centre,The Gowrie (Qld) Inc.,Centre-Based Care,FORTITUDE VALLEY,QLD,4006,153.029357,-27.457744,True,Exceeding NQS,Above NQS,67.000000,1.203982,0.497023,0.497023,False,False,51.250000,True,,,False,,51.250000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Yes,No,No,No,No,No,No
SE-00000047,Julia Cumming Community Child Care Centre,Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane - Centacare Administration Services,Centre-Based Care,GRACEVILLE,QLD,4075,152.977914,-27.520247,True,Meeting NQS,Meets NQS,44.000000,4.101881,0.206194,0.206194,False,False,55.000000,True,,,False,,55.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000048,Holland Park Creche and Family Centre,Jadcare Pty Ltd,Centre-Based Care,HOLLAND PARK,QLD,4121,153.075218,-27.525560,True,Meeting NQS,Meets NQS,65.000000,3.637259,4.449043,3.637259,False,False,55.000000,True,,,False,,55.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000049,ASPEN COMMUNITY EARLY LEARNING CENTRE INC.,Aspen Community Early Learning Centre Inc,Centre-Based Care,INALA,QLD,4077,152.973250,-27.584981,True,Working Towards NQS,Below NQS,75.000000,10.363835,2.876842,2.876842,False,False,55.000000,True,,,False,,55.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Yes,No,No,No,No,No,No
SE-00000050,Swallow St Child Care Association,Swallow Street Child Care Association Inc,Centre-Based Care,INALA,QLD,4077,152.977132,-27.602243,True,Meeting NQS,Meets NQS,64.000000,10.985738,3.060747,3.060747,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000051,Goodstart Early Learning Indooroopilly - York Street,Goodstart Early Learning Ltd,Centre-Based Care,INDOOROOPILLY,QLD,4068,152.976867,-27.496294,True,Meeting NQS,Meets NQS,106.000000,3.394013,0.590685,0.590685,False,False,60.000000,True,,,False,,60.000000,Annual,4.000000,Long Day Care + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,Yes,Yes,Yes,No
SE-00000052,Goodstart Early Learning Jindalee,Goodstart Early Learning Ltd,Centre-Based Care,JINDALEE,QLD,4074,152.936566,-27.530332,True,Meeting NQS,Meets NQS,75.000000,8.190104,4.027521,4.027521,False,False,57.500000,True,,,False,,57.500000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000054,C&K Herston Road Community Long Day Care,The Creche and Kindergarten Association Limited,Centre-Based Care,HERSTON,QLD,4006,153.022451,-27.448979,True,Meeting NQS,Meets NQS,44.000000,0.705555,0.864075,0.705555,False,False,56.250000,True,,,False,,56.250000,Annual,2.000000,Long Day Care + Preschool: Stand-alone,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,Yes,No,No,No,No
SE-00000055,Goodstart Early Learning Kenmore - Kersley Road,Goodstart Early Learning Ltd,Centre-Based Care,KENMORE,QLD,4069,152.947651,-27.519720,True,Meeting NQS,Meets NQS,75.000000,6.715115,2.624302,2.624302,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000056,Avenues Early Learning Centre - McDowall,H C Yang Childcare Pty Ltd as Trustee for H C Yang Childcare Trust,Centre-Based Care,MCDOWALL,QLD,4053,152.988163,-27.384016,True,Exceeding NQS,Above NQS,75.000000,4.032008,2.955271,2.955271,False,False,57.500000,True,,,False,,57.500000,Annual,3.000000,Long Day Care + Preschool: Stand-alone + OSHC: Vacation Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Yes,No,Yes,No,No,Yes,No
SE-00000057,Mother Duck Childcare and Kindergarten Manly,H M Denner Pty Ltd,Centre-Based Care,MANLY,QLD,4179,153.175476,-27.459601,True,Meeting NQS,Meets NQS,75.000000,0.554719,0.575069,0.554719,False,False,57.500000,True,,,False,,57.500000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
SE-00000058,Silky Oaks Early Learning Centre,Silky Oaks Children's Haven,Centre-Based Care,MANLY WEST,QLD,4179,153.174034,-27.467654,True,Working Towards NQS,Below NQS,57.000000,1.291444,1.367247,1.291444,False,False,55.000000,True,,,False,,55.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Yes,No,No,No,No,No,No
SE-00000059,Kindy Patch Manly,G8 KP Pty Ltd,Centre-Based Care,MANLY WEST,QLD,4179,153.168872,-27.455166,True,Meeting NQS,Meets NQS,74.000000,1.194805,1.117879,1.117879,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Yes,No,No,No,No,No,No
