ServiceApprovalNumber,ServiceName,ProviderLegalName,ServiceType,Suburb,State,Postcode,longitude,latitude,coordinate_valid,OverallRating,rating_group,NumberOfApprovedPlaces,DistanceToBusStation_km,DistanceToTrainStation_km,nearest_transport_distance_km,transport_distance_invalid,transport_distance_review,annual_weekly_operating_hours,annual_hours_valid,term_weekly_operating_hours_unadjusted,term_weekly_operating_hours,term_hours_overlap_adjusted,holiday_weekly_operating_hours,weekly_operating_hours,operating_hours_basis,detailed_offering_count,detailed_offering_combination,remoteness_code,remoteness_area,remoteness_broad_group,boundary_state_name,boundary_state_abbr,remoteness_match_status,state_boundary_consistent,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Other
SE-40028778,Peak Sports and Learning Flinders,Peak Sports and Learning Pty Ltd,Centre-Based Care,FLINDERS,NSW,2529,150.843287,-34.579088,True,,No current rating,70.000000,4.439067,1.351592,1.351592,False,False,,False,27.500000,27.500000,False,55.000000,27.500000,School term,3.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care,10,Major Cities of Australia,Major Cities,New South Wales,NSW,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,No
SE-40028784,Balga PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,BALGA,WA,6061,115.844800,-31.860590,True,,No current rating,30.000000,9.045821,4.901775,4.901775,False,False,,False,26.666667,26.666667,False,,26.666667,School term,2.000000,OSHC: After School + OSHC: Before School,50,Major Cities of Australia,Major Cities,Western Australia,WA,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,No,No
SE-40028786,Waddington PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,KOONDOOLA,WA,6064,115.868157,-31.844242,True,,No current rating,50.000000,9.544497,5.134685,5.134685,False,False,,False,26.750000,26.750000,False,,26.750000,School term,2.000000,OSHC: After School + OSHC: Before School,50,Major Cities of Australia,Major Cities,Western Australia,WA,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,No,No
SE-40028787,St Augustine PS Rivervale TheirCare,TheirCare Pty Ltd,Centre-Based Care,RIVERVALE,WA,6103,115.906240,-31.959800,True,,No current rating,50.000000,4.777666,0.593737,0.593737,False,False,,False,25.833333,25.833333,False,55.000000,25.833333,School term,3.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care,50,Major Cities of Australia,Major Cities,Western Australia,WA,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,No
SE-40028788,Floreat Park PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,FLOREAT,WA,6014,115.791220,-31.936844,True,,No current rating,50.000000,6.383325,2.676224,2.676224,False,False,,False,25.000000,25.000000,False,55.000000,25.000000,School term,3.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care,50,Major Cities of Australia,Major Cities,Western Australia,WA,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,No
SE-40028789,Northern Beaches Christian School TheirCare,TheirCare Pty Ltd,Centre-Based Care,DUFFYS FOREST,NSW,2084,151.201366,-33.673650,True,,No current rating,51.000000,10.213003,6.395976,6.395976,False,False,,False,25.000000,25.000000,False,,25.000000,School term,2.000000,OSHC: After School + OSHC: Before School,10,Major Cities of Australia,Major Cities,New South Wales,NSW,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,No,No
SE-40028797,Bilingual By Five Canning Vale,BILINGUAL BY FIVE CANNING VALE PTY LTD,Centre-Based Care,CANNING VALE,WA,6155,115.933335,-32.086627,True,,No current rating,90.000000,7.037307,2.789977,2.789977,False,False,55.000000,True,,,False,55.000000,55.000000,Annual,1.000000,Long Day Care,50,Major Cities of Australia,Major Cities,Western Australia,WA,Matched by spatial join,True,,,,,,,,Yes,No,No,No,No,No,No
SE-40028808,Brightly Early Learning Gables,BRIGHTLY EARLY LEARNING PTY LTD,Centre-Based Care,BOX HILL,NSW,2765,150.893107,-33.635133,True,,No current rating,70.000000,14.530669,4.245916,4.245916,False,False,55.000000,True,,,False,,55.000000,Annual,1.000000,Long Day Care,10,Major Cities of Australia,Major Cities,New South Wales,NSW,Matched by spatial join,True,,,,,,,,Yes,No,No,No,No,No,No
SE-40028812,Camp Australia - East Fremantle Primary School OSHC,Camp Australia Pty Limited,Centre-Based Care,FREMANTLE,WA,6160,115.759148,-32.047893,True,,No current rating,57.000000,13.459958,1.392398,1.392398,False,False,,False,27.500000,27.500000,False,57.500000,27.500000,School term,4.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care + Other,50,Major Cities of Australia,Major Cities,Western Australia,WA,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,Yes
SE-40028819,Little Zak's Academy Auburn,LZ PTY LTD,Centre-Based Care,AUBURN,NSW,2144,151.038945,-33.842638,True,,No current rating,164.000000,8.218357,0.930937,0.930937,False,False,55.000000,True,,,False,,55.000000,Annual,1.000000,Long Day Care,10,Major Cities of Australia,Major Cities,New South Wales,NSW,Matched by spatial join,True,,,,,,,,Yes,No,No,No,No,No,No
SE-40028821,St Luke's Early Learning Community,Anglican Diocesan Services,Centre-Based Care,CHAPMAN,ACT,2611,149.041234,-35.356031,True,,No current rating,119.000000,11.628216,10.639454,10.639454,False,False,50.000000,True,,,False,,50.000000,Annual,1.000000,Long Day Care,80,Major Cities of Australia,Major Cities,Australian Capital Territory,ACT,Matched by spatial join,True,,,,,,,,Yes,No,No,No,No,No,No
