ServiceApprovalNumber,ServiceName,State,remoteness_area,longitude,latitude,DistanceToBusStation_km,DistanceToTrainStation_km,transport_distance_invalid,transport_distance_review,decision
SE-40028532,Goldfields Out Of School Hours Care,WA,Outer Regional Australia,121.479,-30.754,544.300,3.554,False,True,Retain as reviewed geographic extreme
SE-00014225,Wanslea Regional Family Day Care,WA,Outer Regional Australia,121.476,-30.746,544.219,3.191,False,True,Retain as reviewed geographic extreme
SE-00012789,Kids on Carrington Childcare,WA,Outer Regional Australia,121.478,-30.758,544.022,4.013,False,True,Retain as reviewed geographic extreme
SE-00013162,Kalgoorlie Occasional Child Care Centre,WA,Outer Regional Australia,121.463,-30.754,542.819,4.047,False,True,Retain as reviewed geographic extreme
SE-00012677,Busy Bees on Hannan Street,WA,Outer Regional Australia,121.463,-30.756,542.708,3.873,False,True,Retain as reviewed geographic extreme
SE-00012760,Busy Bees at Kalgoorlie,WA,Outer Regional Australia,121.466,-30.775,542.373,3.539,False,True,Retain as reviewed geographic extreme
SE-00012646,Goodstart Early Learning Somerville,WA,Outer Regional Australia,121.445,-30.771,540.643,1.661,False,True,Retain as reviewed geographic extreme
SE-00000288,Longreach  Child Care Centre,QLD,Very Remote Australia,144.256,-23.446,536.122,0.683,False,True,Retain as reviewed geographic extreme
SE-00001540,C&K Longreach Community Kindergarten,QLD,Very Remote Australia,144.258,-23.441,535.574,0.606,False,True,Retain as reviewed geographic extreme
SE-00002463,Gapuwiyak Preschool,NT,Very Remote Australia,135.805,-12.503,535.548,444.897,False,True,Retain as reviewed geographic extreme
SE-40001349,Coen Kindergarten,QLD,Very Remote Australia,143.200,-13.945,531.310,413.287,False,True,Retain as reviewed geographic extreme
SE-40000942,St Joseph's Catholic Kindergarten Blackall,QLD,Very Remote Australia,145.460,-24.419,526.294,98.088,False,True,Retain as reviewed geographic extreme
SE-40006386,Blackall Early Years Service,QLD,Very Remote Australia,145.470,-24.425,525.482,98.830,False,True,Retain as reviewed geographic extreme
SE-40000622,Kowanyama State School Kindergarten,QLD,Very Remote Australia,141.744,-15.472,523.405,255.282,False,True,Retain as reviewed geographic extreme
SE-00017087,Kowanyama State School Kindergarten,QLD,Very Remote Australia,141.744,-15.476,523.190,254.852,False,True,Retain as reviewed geographic extreme
SE-40000635,Northern Peninsula Area College - Injinoo Kindergarten,QLD,Very Remote Australia,142.287,-10.965,521.359,745.443,False,True,Retain as reviewed geographic extreme
SE-40000624,Northern Peninsula Area College - Bamaga Kindergarten,QLD,Very Remote Australia,142.401,-10.892,519.113,746.696,False,True,Retain as reviewed geographic extreme
SE-00002571,Shepherdson Preschool,NT,Very Remote Australia,135.567,-12.028,511.318,453.260,False,True,Retain as reviewed geographic extreme
SE-40000803,BDCS - Preschool (9a),NSW,Very Remote Australia,145.935,-30.096,506.247,332.192,False,True,Retain as reviewed geographic extreme
SE-40005055,BDCS - Childcare (9b),NSW,Very Remote Australia,145.932,-30.101,505.986,331.639,False,True,Retain as reviewed geographic extreme
SE-40006335,Barcaldine Early Years Service,QLD,Very Remote Australia,145.295,-23.561,503.931,1.083,False,True,Retain as reviewed geographic extreme
SE-40029096,Barcaldine State School Kindergarten,QLD,Very Remote Australia,145.295,-23.561,503.931,1.083,False,True,Retain as reviewed geographic extreme
SE-40000633,Tagai State College - Horn Island (Narupay Ngurpay Mudh) Kindergarten,QLD,Very Remote Australia,142.249,-10.595,482.077,783.740,False,True,Retain as reviewed geographic extreme
SE-00000382,Lady Gowrie Thursday Island Child Centre,QLD,Very Remote Australia,142.212,-10.588,479.667,786.316,False,True,Retain as reviewed geographic extreme
SE-40000646,Tagai State College - Thursday Island (Paru Kaziw Mudh) Kindergarten,QLD,Very Remote Australia,142.223,-10.582,479.547,786.364,False,True,Retain as reviewed geographic extreme
SE-40008280,Lady Gowrie Thursday Island Kindergarten and OSHC,QLD,Very Remote Australia,142.216,-10.583,479.366,786.587,False,True,Retain as reviewed geographic extreme
SE-40000645,Tagai State College - Thursday Island (Waybeni Buway Ngurpay Mudh) Kindergarten,QLD,Very Remote Australia,142.222,-10.579,479.269,786.638,False,True,Retain as reviewed geographic extreme
SE-40000636,Tagai State College - Moa Island (Kubin Ngurpay Lag) Kindergarten,QLD,Very Remote Australia,142.333,-10.186,445.520,820.397,False,True,Retain as reviewed geographic extreme
SE-40000743,Iama Migi Kaziw Mudh,QLD,Very Remote Australia,142.333,-10.186,445.520,820.397,False,True,Retain as reviewed geographic extreme
SE-40000642,Tagai State College - Moa Island (St Paul's Ngurpay Lag) Kindergarten,QLD,Very Remote Australia,142.330,-10.186,445.369,820.534,False,True,Retain as reviewed geographic extreme
SE-40000637,Tagai State College - Murray Island (Mer Eruer Uteb) Kindergarten,QLD,Very Remote Australia,142.770,-9.899,444.064,830.504,False,True,Retain as reviewed geographic extreme
SE-40000649,Tagai State College - Sue Island (Warraber Ngurpay Lag) Kindergarten,QLD,Very Remote Australia,142.770,-9.899,444.064,830.504,False,True,Retain as reviewed geographic extreme
SE-40001091,Tagai State College - Yam Island (Iama Ngurpay Lag) Kindergarten,QLD,Very Remote Australia,142.770,-9.899,444.064,830.504,False,True,Retain as reviewed geographic extreme
SE-40000653,Tagai State College - Yorke Island (Masig Muisau Moegi Kaziw Ngurpay Lag) Kindergarten,QLD,,142.173,-10.183,437.200,828.319,False,True,Retain as reviewed geographic extreme
SE-40000631,Tagai State College - Badu Island (Badhulgaw Ngurpay Lag) Kindergarten,QLD,Very Remote Australia,142.163,-10.157,434.077,831.443,False,True,Retain as reviewed geographic extreme
SE-40001092,Tagai State College - Mabuiag Island (Mabuygiw Ngurpay Lag) Kindergarten,QLD,Very Remote Australia,142.188,-9.955,415.358,850.437,False,True,Retain as reviewed geographic extreme
SE-40000639,Tagai State College - Saibai Island (Kadhego Ngurpay Lag) Kindergarten,QLD,Very Remote Australia,142.623,-9.378,388.196,890.406,False,True,Retain as reviewed geographic extreme
SE-40001901,Tagai State College - Darnley Island (Erub Erwer Uteb) Kindergarten,QLD,Very Remote Australia,143.770,-9.587,376.054,830.065,False,True,Retain as reviewed geographic extreme
SE-00012801,Kimberley Kids Early Learning Centre,WA,Remote Australia,122.216,-17.960,355.203,642.772,False,True,Retain as reviewed geographic extreme
SE-40015439,Kimberley Kids Cable Beach,WA,Remote Australia,122.218,-17.964,354.968,642.590,False,True,Retain as reviewed geographic extreme
SE-00014418,Kimberley Kids Outside School Hours Care,WA,Remote Australia,122.220,-17.958,354.816,643.203,False,True,Retain as reviewed geographic extreme
SE-00012953,Mulberry Tree Child Care Roebuck,WA,Remote Australia,122.233,-17.939,353.598,645.782,False,True,Retain as reviewed geographic extreme
SE-40015033,Mulberry Tree OSHC - Roebuck,WA,Remote Australia,122.233,-17.939,353.563,645.730,False,True,Retain as reviewed geographic extreme
SE-00012939,Indigo Montessori Child Care and Kindy - Broome,WA,Remote Australia,122.234,-17.965,353.285,643.703,False,True,Retain as reviewed geographic extreme
SE-00012433,Broome Out Of School Care Children's Activities Inc,WA,Remote Australia,122.234,-17.964,353.233,643.817,False,True,Retain as reviewed geographic extreme
SE-00012432,YMCA Broome Early Learning Centre,WA,Remote Australia,122.237,-17.959,353.002,644.420,False,True,Retain as reviewed geographic extreme
SE-40002210,Tagai State College - Boigu Island (Malu Kiyay Ngurpay Lag) Kindergarten,QLD,Very Remote Australia,142.219,-9.231,348.363,922.403,False,True,Retain as reviewed geographic extreme
SE-00012520,One Tree Derby Children's Services,WA,Very Remote Australia,123.640,-17.317,225.920,791.299,False,True,Retain as reviewed geographic extreme
SE-00012858,Little Nuggets Early Learning Centre,WA,Very Remote Australia,127.685,-18.236,224.305,640.008,False,True,Retain as reviewed geographic extreme
SE-00012394,Baya Gawiy Early Childhood Learning Unit,WA,Very Remote Australia,125.564,-18.190,0.153,823.206,False,True,Retain as reviewed geographic extreme
