state,child_population_0_13,all_services,centre_based_services,centre_based_capacity_records,centre_based_approved_places,all_services_per_1000_children,centre_based_services_per_1000_children,approved_places_per_1000_children,approved_places_per_centre_service,capacity_completeness_pct,national_approved_places_per_1000_children,coverage_gap_from_national
ACT,77733,376,370,370,31127.000,4.837,4.760,400.435,84.127,100.000,274.628,125.807
NSW,1369567,5950,5830,5830,361801.000,4.344,4.257,264.172,62.058,100.000,274.628,-10.456
NT,45410,235,231,231,14941.000,5.175,5.087,329.024,64.680,100.000,274.628,54.397
QLD,894731,3287,3190,3190,258180.000,3.674,3.565,288.556,80.934,100.000,274.628,13.928
SA,281720,1280,1263,1261,80712.000,4.544,4.483,286.497,63.905,99.842,274.628,11.869
TAS,85790,240,235,235,13986.000,2.798,2.739,163.026,59.515,100.000,274.628,-111.602
VIC,1090241,4829,4691,4691,333788.000,4.429,4.303,306.160,71.155,100.000,274.628,31.532
WA,470983,1452,1422,1422,90807.000,3.083,3.019,192.803,63.859,100.000,274.628,-81.825
