state,services,rated_services,rating_coverage_pct,below_nqs_services,below_nqs_pct_of_rated,above_nqs_services,above_nqs_pct_of_rated,no_current_rating_services,no_current_rating_pct,median_centre_based_places,median_train_distance_km,median_bus_distance_km,valid_coordinate_pct
ACT,378,356,94.180,51,14.326,157,44.101,22,5.820,77.000,5.688,9.137,100.000
NSW,5950,5639,94.773,408,7.235,1132,20.074,311,5.227,52.000,2.030,12.054,100.000
NT,235,215,91.489,47,21.860,15,6.977,20,8.511,58.000,10.081,16.304,100.000
QLD,3288,3091,94.009,338,10.935,534,17.276,197,5.991,75.000,2.929,7.898,100.000
SA,1280,1222,95.469,205,16.776,388,31.751,58,4.531,59.000,3.472,9.823,100.000
TAS,240,220,91.667,39,17.727,46,20.909,20,8.333,55.000,8.148,6.386,100.000
VIC,4829,4265,88.321,186,4.361,1162,27.245,564,11.679,62.000,2.346,10.298,100.000
WA,1453,1319,90.778,211,15.997,57,4.321,134,9.222,60.000,2.413,10.958,100.000
