rating,service_count,share_all_services_pct,share_rated_services_pct
Significant Improvement Required,13,0.074,0.080
Working Towards NQS,1473,8.339,9.017
Meeting NQS,11358,64.304,69.527
Exceeding NQS,3465,19.617,21.211
Excellent,27,0.153,0.165
No current rating,1327,7.513,
