model,transport_mode,services,coefficient_log_odds,robust_standard_error,p_value,odds_ratio_per_distance_doubling,or_ci95_lower,or_ci95_upper,distance_offset_km
Quality Meeting+,Bus,16326,-0.035,0.017,0.037,0.965,0.934,0.998,0.100
Quality Meeting+,Train,16326,0.003,0.016,0.832,1.003,0.973,1.035,0.100
